id,label
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,1
138,1
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,1
379,1
380,1
381,0
382,1
383,0
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,0
421,0
422,0
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,0
436,1
437,0
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,0
485,1
486,0
487,0
488,0
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,1
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
